,0016302dde16c391d8cbb0b04f0a14f3,004fc5c966870bf24fffeb3a1b9216e2,0217955dc297146c95ce8a2d4c34ae9c,024d7c001a9a9e66ba2df83a8248f5e8,0345452dfd10612b682c8f75d6237999,063422512d61abc454a8f82b668cdbfd,06523a5ac313256e2b27c31404a79437,07677d4577f8690220f23293f5bf44fe,0b2c810e69a6d3d89df5b70b1c7b1aed,0b7ec71c24c34855b9518b76e987ebb5,0c662384f9a727304d03eab4a11de40c,0d611342750833248f726204bd14f42b,0f3973c3bfff674f128bc5a29bbf17ae,0f3fec760a191393a04a7f1e77574497,103a39ce56c7c67189419a04675a0ef5,1065b7837eb8345119f8a30882a8d3fd,11810a214ccf148ca37d9dbc4da33391,13fa5dfb070bab32d7cd0911d682eae2,15d507550b9e12254fe487231a546564,16322a82ffa6d64a15e5dbda22a875ce,16e1198191b07c07df671b501ff03ef9,1aae86a431484aba61377cb4c4b6ee1d,1b8b40e72c48fba53c11e9fe27f95b43,1ba3a3a6e13a53f0cae33a42829b0e2d,1cef3055f484a3ee394c9c97b9d9e638,1e809864de65155e42c2dd8f64305103,1ef7556e0472eef35c1b0e3356674551,1f1800f46b6470001bd7b2eae3e6777d,238465f10446c19e4baa04987ec7b85a,26528c15dcc3891f768575cf82d4a0b5,29306e6d1d05e778a54f585932e3dabf,2bc0d4f8db9044a388a6b6507f1ed135,2caacb2aaef5f97d25d2ed1b3ebb0f5d,2e93b8569af90543967eb665d4119a8f,34edbf220bea1b87b614edd07cd8a34a,391f71e9318f29a6b9bf51b83440507f,394f1e28926257a3798fce489b6472bd,3c8bf98cd463058fe1f7db140cb853e1,3daf78f9268a57e4031a1986f1c923df,3de38f8f69202e0a5aaf9b877af0e8a2,402cb65a9460134b02ca3aac299d0a91,4035a52fc96b508a86db385b0af1a36f,4168a76f5eccccb0e732810d3b774761,435ce3876673540cf667958bddd079b6,44b9d82b81639044c8526203c255ec6e,46503d8487dcfea216a5e8927c91136e,47a7033717e3e8068b19de7b95a4849c,481ee37f41ce1da7e45f44357f4a90f3,486c3a95aca1fd5fd61ce835afc8d453,4bc3821cb2319a00ab5607e05776d689,4c12a456e2f5b8fa476c9738082c26f5,4caa64949d86a1c4d67a535770346a96,4cf6abad36e73f68487cf5d6db9fc6d6,4f37a9aaf16bbc954a252cc347810239,51df8445f266970bdcc377fee2cead64,55665f80229d2a3b70f4039c236e5953,567bf0dacc3644a09aa4bfcd582e7955,56f1c4f2272ed5290e0639c3430a8478,577c8cacf26e155cbe8cd9ec38345668,594210f301e8c7f92fae3958026dc834,5977684c389327cc46ef05b0b9b0b516,5a44c6e9371e2222a8ca56d7ce9c2963,5afc4d8f6e9f96a3c9a8cf5848a57680,5b232da59bbb91b2e5cd011698dec97a,5b8cc7f0167a0a612a1dbbf25ff5aa35,5e433e2577259e8bf56f98e0036b9739,63a52afbb1f6f91ffe90d0fc681104f8,65ed672af933c88c445fed9e78fa461c,682598b59b633c69a88dcfb0602e2128,69b301b60d01c39491066097d110cee0,69c4a4d2284dfc5aab915b0448924538,6a8f5c996f7ae964fe949c4cd292a3d2,6cb2e1cd4be7c4ebb55d8046603b63bb,6f58b9d9827cf97b693fc1c00b7aece9,7004fa533f96c4baa8b1772800913203,70c5fb38128d63c3b475645750092026,728c5fedefe7c46b0f219a537b52227b,72e859e598b2c3b8b8487ee906644765,750c667abc77115c865062ebde6d319f,75fe80aef463ee77ca10d750a56e452e,764f3e9652dfcd94465af207136cc08b,76f63555925aaec355aebe36564cad2b,77bea8ee6e67d23d20e50fae1ce637ce,78cb23fd1e36c41958a1d11d506bfa1d,79588bd1bf6c6f32e148088cdf89fbd5,79af1a160ab8ca5ffa9481433c83ae7e,7a4c8645858590a0f8394b759cbb15c2,7ad34dc98f14ff86140c55664da735e8,7dbc35117d9a2842021c67ed072cedf8,8455c6e38743d3b5a0139657ed657e24,84919907ce21e0167d757ec8357b9cd4,857d52f3d056110b398b02f0dc64db97,86b9cded26243facc16148ae9f0f6751,86ca42b63c6de24ea5273d4632e68aef,897c8bef051638f0390db8164e4071af,8bf20d4c6d09f17705a457d873198255,8c733167c9840858fedf346123d58328,8d94c5f9f5ab8dc176c88ecc04a9fa19,8e1550134137dd788524a82d3efc23d7,8eb9998565852074c4de82a568c02171,90b2d1d140952dbc5210fa5e11fb0fd2,90e5b4cf3981b48659a6d17246d7dfee,91d03df2dfeb93a6acc95041a2a559dc,93a2ee10badc5938b6f5e9dee9d42824,93c42d1806632cb767f9d82e4d1448d4,94272f973b2067fab9f5628d1802acff,9ee0e32b9dc42d36b9db08dcc459f677,a007b1fa0de4de33b3e4a0c53fe57605,a4d0adc8f332ec2035dbb55fecba48e2,a6dcaca9cc0b2802fd5c4a567d70feeb,a6f251e44d29caaa365cb6494f646615,a9e6d096b7b562d83eb4df124d58b1a7,ab607289b01c25d0aee1e99936cab755,ac65580b85054ba0ebb4ae7fa55f1c3a,af59b28e59869ef53a21b26a68549722,b2cd672c6df530f87d9cff26ea63e630,b3db9246f9259c1ebda07ab594ff9fca,b583b72284ef0c92af80789adb2318d3,b7a44b6e96f20f97d8d3fe318d19b39f,b81396ebe53a83737b9a008598d87797,bafcad18c9dc4fc747573b94373c506f,bb00d0825e38be5433392af45d4f1fb0,bed7150b362a3497b231e2d1a89d4931,c6126a8db5c3a0e9005b8d8ade3cdd41,c7d736243a5ab6dda071b8d3531e973f,cca84ed1dd44a5d5e9d409c3c3cbec95,d0268093b3683991a3618269a96b1fa1,d0411bbe6fc22ec74b9ba1c8e380bc60,d1bbc2c49148606537a197d1f9ee899f,d4a429c34c1c22274f0ed4fb6d771979,d759f02bee6c49d0d0faffcdebe8e244,d860839054dd9ad5fe8dad0009a21420,d9a3138837bc3b0a51329c88077034f8,d9c3a94ee686fa379a45701dd7a66a20,d9ef5a8a190cdb915315e6b99d911f8d,dab06ec83e274617007f20f2be1b4b3a,dab1302462bff290b394b3958555e672,db47f0af26c2d46fdcc24db1ea20ab81,dbb6c38b64ff749c252592e2655b8572,df4888f1235a3b2e3a76c0205c659bda,df519801391f5e2262381261c170fb0c,e0c733734138e9d6abae05a9bd39777a,e2bf786c62b91d0e9c206721cfb443ee,e3d6b140bff64a04021906a009f39a08,e53bf9b21212d2e223d4d5a239a8e73a,e79eaac27ba36a1042f19c03dcf55ddb,e914228dc88dc3dc0ca229eb5fb7b83d,e98725484f3dc2c37b9985008ef386e0,ea57b08c875b6ce6e40d6c937db6bf24,ea5b1cbb6a697a909a4314775acb06d6,eba6efa56bf46fb323f7bc7338995574,edf9635bfa75b4eaaf87ec9b1d13c2ce,eec47b3cf91bb11be9686efa03c32f51,eff7f3273449faa5aeccd71fbe1b0b61,f00e5de576ba596823c0ed35a8f98924,fb9a4f48e398f9bd34eea6c278d1bd76,fce6b7579a0fc4c11e7e475ea40aba3d,fef5ffa355ee988dace11a4174ec15d4,ff2df49554c12220b2380ce6b422f0f8,ff3acb97cca36d3f424a22d97726dd05,product_id
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TheMacabreNBold
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vercelliparis
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maurosantoro74
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line4Men
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3612,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetFashion4U
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NeedNewOutfit
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mat_KLEIN
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fussionjp
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MramorVicki
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VisualEntity
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RokstaMally
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DopeSneakersBru
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ShoesMarketing
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FastSneakers
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThugsGetLonely
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SeizeSneakers
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emilyjessturner
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThaliaSoto_
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leatherworkshop
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beuryu_Yeawra
