,0016302dde16c391d8cbb0b04f0a14f3,0c662384f9a727304d03eab4a11de40c,0f3973c3bfff674f128bc5a29bbf17ae,13fa5dfb070bab32d7cd0911d682eae2,1ef7556e0472eef35c1b0e3356674551,1f1800f46b6470001bd7b2eae3e6777d,238465f10446c19e4baa04987ec7b85a,26528c15dcc3891f768575cf82d4a0b5,3daf78f9268a57e4031a1986f1c923df,4035a52fc96b508a86db385b0af1a36f,4bc3821cb2319a00ab5607e05776d689,4cf6abad36e73f68487cf5d6db9fc6d6,51df8445f266970bdcc377fee2cead64,594210f301e8c7f92fae3958026dc834,5b232da59bbb91b2e5cd011698dec97a,63a52afbb1f6f91ffe90d0fc681104f8,65ed672af933c88c445fed9e78fa461c,69c4a4d2284dfc5aab915b0448924538,6a8f5c996f7ae964fe949c4cd292a3d2,728c5fedefe7c46b0f219a537b52227b,76f63555925aaec355aebe36564cad2b,78cb23fd1e36c41958a1d11d506bfa1d,7ad34dc98f14ff86140c55664da735e8,897c8bef051638f0390db8164e4071af,91d03df2dfeb93a6acc95041a2a559dc,93c42d1806632cb767f9d82e4d1448d4,9ee0e32b9dc42d36b9db08dcc459f677,b583b72284ef0c92af80789adb2318d3,bed7150b362a3497b231e2d1a89d4931,d860839054dd9ad5fe8dad0009a21420,d9ef5a8a190cdb915315e6b99d911f8d,dab1302462bff290b394b3958555e672,df4888f1235a3b2e3a76c0205c659bda,e0c733734138e9d6abae05a9bd39777a,e914228dc88dc3dc0ca229eb5fb7b83d,e98725484f3dc2c37b9985008ef386e0,ff2df49554c12220b2380ce6b422f0f8
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,0.3182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
